
contig_2_CDS_[complement(1595..1933)]	YP_010684631.1	54.310	116	2.51e-35	YP_010684631.1 DUF2493 domain-containing protein [Escherichia phage ZCEC13]
contig_2_CDS_[complement(1930..2487)]	YP_010655147.1	44.865	185	2.30e-53	YP_010655147.1 hypothetical protein PP584_gp50 [Pseudoalteromonas phage Maelstrom]
contig_2_CDS_[complement(2969..4825)]	YP_010676332.1	39.141	396	8.67e-70	YP_010676332.1 P4 family primase [Klebsiella phage vB_KpnS-Carvaje]
contig_2_CDS_[complement(5567..5758)]	YP_009854243.1	40.984	61	2.00e-06	YP_009854243.1 hypothetical protein HWC84_gp005 [Erwinia phage Hena1]
contig_2_CDS_[complement(6270..6737)]	YP_009846462.1	46.405	153	7.67e-38	YP_009846462.1 hypothetical protein HWC26_gp125 [Aeromonas phage 2L372X]
contig_2_CDS_[complement(6734..7324)]	YP_010683606.1	47.170	159	2.40e-39	YP_010683606.1 hypothetical protein PQZ55_gp24 [Klebsiella phage vB_KpnM_15-38_KLPPOU148]
contig_2_CDS_[complement(7321..8007)]	YP_007877474.1	70.638	235	3.62e-121	YP_007877474.1 DNA methylase [Vibrio phage douglas 12A4]
contig_2_CDS_[complement(8034..9722)]	YP_007348968.1	43.548	558	3.92e-144	YP_007348968.1 putative helicase [Edwardsiella phage MSW-3]
contig_2_CDS_[11301..12920]	YP_239298.1	35.429	175	1.75e-19	YP_239298.1 possible endodeoxyribonuclease [Xanthomonas phage Xp15]
contig_2_CDS_[13003..13758]	YP_010683787.1	31.197	234	2.15e-20	YP_010683787.1 exonuclease [Klebsiella phage BUCT_47333]
contig_2_CDS_[13784..14161]	YP_003347369.1	33.654	104	2.35e-09	YP_003347369.1 exonuclease [Enterococcus phage phiFL4A]
contig_2_CDS_[14376..15329]	YP_008869268.1	75.258	194	7.86e-103	YP_008869268.1 Gp2.5-like ssDNA binding protein and ssDNA annealing protein [Edwardsiella phage PEi21]
contig_2_CDS_[15401..15622]	YP_010655336.1	50.725	69	4.89e-18	YP_010655336.1 hypothetical protein PP587_gp37 [Pseudoalteromonas phage C7]
contig_2_CDS_[15613..18051]	YP_010738376.1	30.386	803	4.06e-101	YP_010738376.1 putative DNA polymerase [Xanthomonas phage vB_Xar_IVIA-DoCa5]
contig_2_CDS_[18150..18659]	YP_001294615.1	59.140	93	9.10e-32	YP_001294615.1 nucleotide kinase [Pseudomonas phage PA11]
contig_2_CDS_[18990..19481]	YP_009996943.1	40.523	153	1.23e-24	YP_009996943.1 polynucleotide kinase [Xanthomonas phage Xoo-sp2]
contig_2_CDS_[complement(19833..20357)]	YP_004251079.1	32.941	170	5.13e-24	YP_004251079.1 hypothetical protein ViPhICP1_gp138 [Vibrio phage ICP1]
contig_2_CDS_[complement(20360..20758)]	YP_009819586.1	41.406	128	1.05e-30	YP_009819586.1 endolysin [Vibrio phage VspSw_1]
